,currency_code,currency_name,rate
0,AUD,Australian dollars (A$),0.6948651644
1,btc,Bitcoin (btc),9433.19
2,BRL,Brazilian reais (R$),0.1867337315
3,GBP,British pounds sterling (£),1.2550737853
4,CAD,Canadian dollars (C$),0.7358195332
5,CNY,Chinese yuan renminbi (¥),0.1425666031
6,EUR,Euros (€),1.1286
7,INR,Indian rupees (?),0.0133332546
8,JPY,Japanese yen (¥),0.0092973062
9,MXN,Mexican pesos (MXN$),0.0440114962
10,PLN,Polish zloty (zl),0.252116609
11,RUB,Russian rubles (?),0.0140271246
12,SGD,Singapore dollars (S$),0.7167989838
13,ZAR,South African rands (R),0.0588953598
14,SEK,Swedish kroner (SEK),0.1081967213
15,CHF,Swiss francs,1.062311747
16,USD,U.S. dollars ($),1.0
